番号,23,
名前,ホワイトクラブ,
呼び名,ホワイトクラブ,
基礎,0,2650
基礎,1,3050
フラグ,1,2
フラグ,9,105
フラグ,11,277
フラグ,12,277
フラグ,13,277
フラグ,14,277
フラグ,16,-1
フラグ,41,5
フラグ,42,83
フラグ,45,0
フラグ,46,0
フラグ,151,128
フラグ,420,1
素質,0;処女
素質,1;童貞
素質,16;生意気
素質,25;楽観的
素質,48;近視
素質,50;習得早い
素質,62;汚臭鈍感
素質,70;快感に素直
素質,100;小柄体型
素質,109;貧乳
素質,121;ふたなり
素質,125;パイパン
素質,170;クラブ
素質,201;魔術師
素質,241;魔術
素質,252;先制
素質,300,2;栗毛
素質,301,1;直毛
素質,302,1;ショート
素質,303,1;ベーシック
素質,304,1;ナチュラル
素質,305,3;神秘的
素質,306,2;ブラウン
素質,307,3;瑞々しい
素質,308,1;スレンダー
素質,309,1;ピンク
素質,310,1;無
素質,311,1;無
素質,312,4;口元
素質,313,33;話す時の距離が近い
素質,314,0;人間
素質,315,17;隠者
素質,316,9;国に命令されて
素質,317,18;小説

