;-------------------------------------------------,
;Experience,
;-------------------------------------------------,
Ｖ経験,V Exp
Ａ経験,A Exp
絶頂経験,Orgasm Exp
射精経験,Ejaculation Exp
性交経験,Sexual Exp
精飲絶頂経験,Semen Drink Orgasm Exp

自慰経験,Masturbation Exp
調教自慰経験,Train Masturbation Exp

精液経験,Semen Exp
奉仕快楽経験,Service Exp
フェラ経験,Blowjob Exp
愛情経験,Love Exp

被虐快楽経験,Masochism Exp
放尿経験,Urination Exp
Ａ快楽経験,A Pleasure Exp
嗜虐快楽経験,Sadism Exp
Ｃ経験,C Exp
Ｂ経験,B Exp

レズ経験,Lesbian Exp
ＢＬ経験,BoyLove Exp

異常経験,Abnormal Exp
緊縛経験,Bondage Exp
Ｖ拡張経験,V Stretch Exp
Ａ拡張経験,A Stretch Exp
噴乳経験,Lactation Exp
触手経験,Tentacle Exp
獣姦経験,Bestiality Exp
薬物経験,Drug Exp

出産経験,Birth Exp;- Childbirth Exp
異種妊娠経験,NonhumanPregExp;- Inter-Species Pregnancy Exp

調教失神経験,TrainFaintExp;- Fainting During Training Exp

料理経験,Cooking Exp
被写経験,BeFilmed Exp
歌唱経験,Singing Exp
舞踊経験,Dancing Exp
調教会話経験,Train Conversation Exp
売春経験,Prostitution Exp
営業愛情経験,Sales Love Exp
闘技勝利経験,Combat Victory Exp

戦闘経験,Combat Exp
勲章経験,Medal Exp
